"Group.1","x"
20160101,50390
20160102,4792
20160103,94
20160104,16036
20160105,13446
20160106,12620
20160107,12131
20160108,11120
20160109,6108
20160110,52
20160111,14045
20160112,13639
20160113,11749
20160114,11454
20160115,12016
20160116,5895
20160117,14
20160118,14074
20160119,10376
20160120,10274
20160121,12056
20160122,11120
20160123,5587
20160124,228
20160125,13495
20160126,13579
20160127,12443
20160128,13181
20160129,9540
20160130,5323
20160131,134
20160201,63546
20160202,15147
20160203,15345
20160204,14885
20160205,13642
20160206,5701
20160207,156
20160208,149
20160209,139
20160210,1819
20160211,15823
20160212,13355
20160213,6784
20160214,127
20160215,17405
20160216,14465
20160217,13851
20160218,13266
20160219,11769
20160220,4900
20160221,82
20160222,14613
20160223,13637
20160224,11014
20160225,11178
20160226,11091
20160227,6226
20160228,43
20160229,15412
20160301,49125
20160302,16362
20160303,14572
20160304,13487
20160305,5578
20160306,109
20160307,15474
20160308,12397
20160309,11914
20160310,11902
20160311,12290
20160312,6002
20160313,158
20160314,15154
20160315,12000
20160316,11732
20160317,12893
20160318,10567
20160319,5605
20160320,44
20160321,14556
20160322,12659
20160323,12041
20160324,11304
20160325,10330
20160326,5971
20160327,133
20160328,15492
20160329,11842
20160330,12493
20160331,11411
20160401,60217
20160402,5629
20160403,84
20160404,13308
20160405,12438
20160406,10001
20160407,12778
20160408,11266
20160409,6285
20160410,93
20160411,15045
20160412,13904
20160413,3332
20160414,13877
20160415,12005
20160416,5585
20160417,155
20160418,15063
20160419,12930
20160420,11932
20160421,12098
20160422,11555
20160423,6090
20160424,60
20160425,15920
20160426,12601
20160427,11081
20160428,12971
20160429,11094
20160430,5690
20160501,49325
20160502,14905
20160503,13631
20160504,15754
20160505,297
20160506,9969
20160507,5564
20160508,95
20160509,15694
20160510,13308
20160511,13548
20160512,13667
20160513,11760
20160514,459
20160515,163
20160516,16339
20160517,13673
20160518,11303
20160519,12215
20160520,10886
20160521,6874
20160522,102
20160523,16588
20160524,12412
20160525,12491
20160526,11241
20160527,10407
20160528,5823
20160529,142
20160530,14740
20160531,12239
20160601,60945
20160602,11961
20160603,12788
20160604,6262
20160605,179
20160606,267
20160607,17962
20160608,13112
20160609,11940
20160610,12371
20160611,5878
20160612,193
20160613,14990
20160614,13767
20160615,13093
20160616,10389
20160617,10687
20160618,5696
20160619,110
20160620,13878
20160621,13471
20160622,11950
20160623,12014
20160624,11133
20160625,5563
20160626,89
20160627,14654
20160628,12153
20160629,12207
20160630,11257
20160701,61898
20160702,6269
20160703,255
20160704,13322
20160705,11744
20160706,12044
20160707,11821
20160708,11400
20160709,5588
20160710,133
20160711,13689
20160712,14210
20160713,12172
20160714,12354
20160715,10975
20160716,5583
20160717,87
20160718,15092
20160719,12625
20160720,13330
20160721,12804
20160722,12014
20160723,5764
20160724,126
20160725,14625
20160726,12936
20160727,11063
20160728,10233
20160729,10736
20160730,4871
20160731,246
20160801,63140
20160802,12670
20160803,11178
20160804,11289
20160805,12099
20160806,5354
20160807,195
20160808,14422
20160809,14765
20160810,11089
20160811,11670
20160812,11739
20160813,5195
20160814,142
20160815,224
20160816,16697
20160817,12370
20160818,12811
20160819,13207
20160820,6332
20160821,82
20160822,16235
20160823,12842
20160824,12166
20160825,11648
20160826,12739
20160827,5995
20160828,49
20160829,15303
20160830,12621
20160831,12323
20160901,60926
20160902,12264
20160903,6875
20160904,78
20160905,15558
20160906,15220
20160907,13319
20160908,14867
20160909,14020
20160910,6688
20160911,40
20160912,17604
20160913,15121
20160914,144
20160915,78
20160916,77
20160917,3263
20160918,113
20160919,19144
20160920,16403
20160921,14441
20160922,13626
20160923,13668
20160924,6962
20160925,201
20160926,16243
20160927,12776
20160928,11591
20160929,11736
20160930,12274
20161001,56987
20161002,236
20161003,304
20161004,19618
20161005,13334
20161006,13571
20161007,12624
20161008,6311
20161009,138
20161010,16249
20161011,14013
20161012,11329
20161013,10579
20161014,9706
20161015,5234
20161016,59
20161017,14426
20161018,14400
20161019,12386
20161020,12802
20161021,13105
20161022,5999
20161023,125
20161024,15462
20161025,14060
20161026,11758
20161027,12339
20161028,9792
20161029,5203
20161030,93
20161031,13002
20161101,63635
20161102,11604
20161103,11658
20161104,12462
20161105,6899
20161106,143
20161107,15251
20161108,12818
20161109,11884
20161110,9940
20161111,10911
20161112,5703
20161113,132
20161114,14988
20161115,13712
20161116,12707
20161117,12389
20161118,11387
20161119,5523
20161120,154
20161121,14905
20161122,14024
20161123,11697
20161124,11124
20161125,12119
20161126,5187
20161127,64
20161128,13609
20161129,13375
20161130,12491
20161201,65558
20161202,12130
20161203,6563
20161204,155
20161205,15376
20161206,13973
20161207,11552
20161208,11380
20161209,11010
20161210,5715
20161211,279
20161212,14161
20161213,13727
20161214,12473
20161215,11965
20161216,11354
20161217,6216
20161218,212
20161219,14973
20161220,14040
20161221,12414
20161222,11264
20161223,11991
20161224,5102
20161225,57
20161226,14804
20161227,13425
20161228,10912
20161229,10846
20161230,11676
20161231,4518
