"Group.1","x"
20150101,3690
20150102,1880
20150103,956
20150104,36
20150105,2658
20150106,2298
20150107,1966
20150108,1512
20150109,1973
20150110,1141
20150111,26
20150112,2041
20150113,2037
20150114,1559
20150115,1567
20150116,1678
20150117,1031
20150118,68
20150119,2586
20150120,1937
20150121,1416
20150122,1545
20150123,1761
20150124,1074
20150125,95
20150126,2397
20150127,2326
20150128,1559
20150129,1775
20150130,2116
20150131,891
20150201,3235
20150202,2797
20150203,2339
20150204,2096
20150205,1714
20150206,1620
20150207,797
20150208,82
20150209,2403
20150210,2466
20150211,1929
20150212,2280
20150213,2123
20150214,1403
20150215,14
20150216,2554
20150217,2932
20150218,12
20150219,10
20150220,45
20150221,546
20150222,50
20150223,3069
20150224,2432
20150225,2241
20150226,1752
20150227,1584
20150228,1296
20150301,3671
20150302,3467
20150303,2392
20150304,1983
20150305,1512
20150306,1650
20150307,996
20150308,61
20150309,2356
20150310,2283
20150311,1568
20150312,1629
20150313,1840
20150314,1092
20150315,14
20150316,2744
20150317,2648
20150318,2044
20150319,1826
20150320,1652
20150321,1234
20150322,111
20150323,2261
20150324,1798
20150325,1444
20150326,1930
20150327,1567
20150328,1150
20150329,10
20150330,1732
20150331,1742
20150401,5393
20150402,1882
20150403,1170
20150404,1235
20150405,63
20150406,2555
20150407,2347
20150408,2261
20150409,2304
20150410,1857
20150411,875
20150412,13
20150413,2489
20150414,2090
20150415,1616
20150416,1583
20150417,1655
20150418,905
20150419,83
20150420,2111
20150421,2294
20150422,2076
20150423,2068
20150424,1843
20150425,1311
20150426,41
20150427,2455
20150428,2361
20150429,1442
20150430,1679
20150501,5472
20150502,938
20150503,45
20150504,2750
20150505,37
20150506,2189
20150507,2322
20150508,1830
20150509,1334
20150510,52
20150511,2823
20150512,2227
20150513,2020
20150514,1866
20150515,1523
20150516,955
20150517,117
20150518,2380
20150519,1577
20150520,1736
20150521,1694
20150522,2021
20150523,1032
20150524,23
20150525,46
20150526,2312
20150527,2584
20150528,2074
20150529,1710
20150530,1262
20150531,72
20150601,6720
20150602,1539
20150603,2244
20150604,1815
20150605,1913
20150606,74
20150607,35
20150608,2150
20150609,1820
20150610,2349
20150611,1620
20150612,1911
20150613,1006
20150614,78
20150615,2777
20150616,1622
20150617,1374
20150618,1803
20150619,1954
20150620,715
20150621,46
20150622,2349
20150623,2134
20150624,1683
20150625,1846
20150626,1327
20150627,1114
20150628,21
20150629,2421
20150630,2299
20150701,5218
20150702,2508
20150703,1953
20150704,998
20150705,29
20150706,1913
20150707,1919
20150708,1787
20150709,1692
20150710,1395
20150711,1122
20150712,16
20150713,2395
20150714,1918
20150715,1742
20150716,1754
20150717,1749
20150718,1338
20150719,1
20150720,2267
20150721,1754
20150722,2155
20150723,2126
20150724,1384
20150725,1021
20150726,63
20150727,2357
20150728,2055
20150729,1814
20150730,1591
20150731,1345
20150801,4424
20150802,77
20150803,2557
20150804,2184
20150805,1667
20150806,2175
20150807,1511
20150808,963
20150809,36
20150810,2591
20150811,2101
20150812,1670
20150813,2141
20150814,1045
20150815,11
20150816,47
20150817,2585
20150818,1988
20150819,1738
20150820,1913
20150821,1796
20150822,1477
20150823,18
20150824,2607
20150825,2185
20150826,2143
20150827,2167
20150828,1096
20150829,804
20150830,93
20150831,2264
20150901,5995
20150902,1952
20150903,1882
20150904,1950
20150905,1194
20150906,83
20150907,2622
20150908,1715
20150909,2065
20150910,1772
20150911,1388
20150912,1295
20150913,32
20150914,2467
20150915,2618
20150916,1778
20150917,1782
20150918,2076
20150919,1591
20150920,34
20150921,2813
20150922,2992
20150923,2565
20150924,2208
20150925,2145
20150926,42
20150927,22
20150928,6
20150929,169
20150930,2246
20151001,6001
20151002,2069
20151003,7
20151004,79
20151005,3261
20151006,2558
20151007,2702
20151008,2060
20151009,44
20151010,1371
20151011,7
20151012,2863
20151013,1938
20151014,1588
20151015,1875
20151016,1842
20151017,1120
20151018,24
20151019,2357
20151020,2069
20151021,2228
20151022,1897
20151023,1787
20151024,1166
20151025,11
20151026,1746
20151027,1981
20151028,2296
20151029,1689
20151030,1729
20151031,909
20151101,3422
20151102,2409
20151103,2089
20151104,2137
20151105,2180
20151106,1446
20151107,936
20151108,94
20151109,2900
20151110,2159
20151111,2161
20151112,2094
20151113,1756
20151114,1315
20151115,81
20151116,2477
20151117,2941
20151118,2481
20151119,1830
20151120,1815
20151121,660
20151122,55
20151123,1945
20151124,2145
20151125,1854
20151126,1700
20151127,1843
20151128,937
20151130,2661
20151201,5915
20151202,1795
20151203,1856
20151204,1897
20151205,877
20151206,10
20151207,2529
20151208,2297
20151209,1704
20151210,1898
20151211,2029
20151212,1094
20151213,48
20151214,2149
20151215,2138
20151216,2162
20151217,1803
20151218,1756
20151219,989
20151220,62
20151221,2805
20151222,1911
20151223,2234
20151224,1946
20151225,23
20151226,779
20151227,21
20151228,2312
20151229,2610
20151230,2188
20151231,1957
