"","day","location","mean_temp","low_temp","high_temp","daily_rain","mean_wind","mean_humid","mean_airpress","dur_sun","sum_sun","amt_sun","max_snow","dailymax_snow","mean_cloud","mean_midcloud","dur_fog"
"1","2016-01-01",108,1.2,-3.3,4,9.34652855963372,1.6,73,4.8,9.6,2.1,4.61,3.47174887892377,8.19818181818182,7,7,4.88825892857143
"2","2016-01-02",108,5.7,1,9.5,9.34652855963372,2,76.9,7.1,9.6,3.6,4.5,3.47174887892377,8.19818181818182,7.8,7.1,4.88825892857143
"3","2016-01-03",108,6.5,5.1,9.4,9.34652855963372,1.8,80.6,7.7,9.7,2.2,4.85,3.47174887892377,8.19818181818182,7.5,7.5,4.88825892857143
"4","2016-01-04",108,2,-2.5,5.3,9.34652855963372,3.1,54.4,3.9,9.7,8.6,9.03,3.47174887892377,8.19818181818182,4.4,2.5,4.88825892857143
"5","2016-01-05",108,-2.7,-4.8,1.5,9.34652855963372,2.3,39.4,1.9,9.7,7.9,8.22,3.47174887892377,8.19818181818182,3.4,0.1,4.88825892857143
"6","2016-01-06",108,-1.7,-4.9,1.7,9.34652855963372,1.8,54.3,3,9.7,2.2,4.69,3.47174887892377,8.19818181818182,6,5.3,4.88825892857143
"7","2016-01-07",108,-3.4,-5.9,1.4,9.34652855963372,2.5,51.8,2.4,9.7,9.1,9.76,3.47174887892377,8.19818181818182,0.3,0,4.88825892857143
"8","2016-01-08",108,-3.3,-6.9,1,9.34652855963372,2,49.8,2.3,9.7,9.2,9.83,3.47174887892377,8.19818181818182,0.5,0.4,4.88825892857143
"9","2016-01-09",108,-2.1,-6.2,2.4,9.34652855963372,2.1,57.1,3,9.7,8,9.28,3.47174887892377,8.19818181818182,4.1,4.1,4.88825892857143
"10","2016-01-10",108,0.3,-2.7,3.8,9.34652855963372,2.6,42.3,2.6,9.8,7.9,9.35,3.47174887892377,8.19818181818182,2.6,2.6,4.88825892857143
"11","2016-01-11",108,-3.8,-6.5,0.9,9.34652855963372,2.8,38.3,1.7,9.8,9.1,9.89,3.47174887892377,8.19818181818182,1.1,0,4.88825892857143
"12","2016-01-12",108,-5.2,-9.1,0.7,9.34652855963372,2.5,46,1.9,9.8,9.1,10.02,3.47174887892377,8.19818181818182,0.5,0.4,4.88825892857143
"13","2016-01-13",108,-4.5,-8.2,0.1,0.4,2,63,2.8,9.8,5.8,6.69,0.5,0.5,5.5,5.5,4.88825892857143
"14","2016-01-14",108,-3.4,-8.4,1.3,0,1.7,52.1,2.5,9.8,7.7,8.8,0,0.4,4,4,4.88825892857143
"15","2016-01-15",108,-0.4,-4.3,5.3,9.34652855963372,1.8,52.3,3,9.9,6.1,7.85,3.47174887892377,0,3.1,2.8,4.88825892857143
"16","2016-01-16",108,-0.2,-2.1,2.8,0.1,2.9,68,4.2,9.9,1,4.86,3.47174887892377,8.19818181818182,7.1,6.4,4.88825892857143
"17","2016-01-17",108,1.7,-0.7,5.4,9.34652855963372,2.4,64,4.3,9.9,0,4.23,3.47174887892377,8.19818181818182,6.6,1.8,4.88825892857143
"18","2016-01-18",108,-6.3,-12.3,0.4,0.2,4.8,59.8,2.5,9.9,7.8,8.31,0.4,0.4,6,5.3,4.88825892857143
